ID_Institution,Nom Institution
518,EMPORIA STATE UNIVERSITY
519,FRIENDS UNIVERSITY
520,HASKELL INDIAN NATIONS UNIVERSITY
521,KANSAS STATE UNIVERSITY
522,KANSAS WESLEYAN UNIVERSITY
523,BETHEL COLLEGE
524,KANSAS CITY KANSAS COMMUNITY COLLEGE
525,PITTSBURG STATE UNIVERSITY
526,WICHITA STATE UNIVERSITY
527,MCPHERSON COLLEGE
528,FORT HAYS STATE UNIVERSITY
529,BAKER UNIVERSITY
530,BARTON COUNTY COMMUNITY COLLEGE
531,NEWMAN UNIVERSITY
532,STERLING COLLEGE
533,UNIVERSITY OF LOUISVILLE
534,BRESCIA UNIVERSITY
535,GEORGETOWN COLLEGE
536,EASTERN KENTUCKY UNIVERSITY
537,HOPKINSVILLE COMMUNITY COLLEGE
538,ASBURY UNIVERSITY
539,BEREA COLLEGE
540,KENTUCKY STATE UNIVERSITY
541,MURRAY STATE UNIVERSITY
542,MOREHEAD STATE UNIVERSITY
543,UNIVERSITY OF THE CUMBERLANDS
544,BIG SANDY COMMUNITY AND TECHNICAL COLLEGE
545,THOMAS MORE COLLEGE
546,WESTERN KENTUCKY UNIVERSITY
547,HENDERSON COMMUNITY COLLEGE
548,LOUISVILLE PRESBYTERIAN THEOLOGICAL SEMINARY
549,SPALDING UNIVERSITY
550,CENTRE COLLEGE
551,SOUTHERN BAPTIST THEOLOGICAL SEMINARY
552,JEFFERSON COMMUNITY AND TECHNICAL COLLEGE
553,LINDSEY WILSON COLLEGE
554,BELLARMINE UNIVERSITY
555,TRANSYLVANIA UNIVERSITY
556,ELIZABETHTOWN COMMUNITY AND TECHNICAL COLLEGE
557,NORTHERN KENTUCKY UNIVERSITY
558,UNIVERSITY OF KENTUCKY
559,CAMPBELLSVILLE UNIVERSITY
560,MCNEESE STATE UNIVERSITY
561,NICHOLLS STATE UNIVERSITY
562,XAVIER UNIVERSITY OF LOUISIANA
563,NORTHWESTERN STATE UNIVERSITY OF LOUISIANA
564,TULANE UNIVERSITY
565,UNIVERSITY OF LOUISIANA AT LAFAYETTE
566,LOYOLA UNIVERSITY-NEW ORLEANS
567,BOSSIER PARISH COMMUNITY COLLEGE
568,GRAMBLING STATE UNIVERSITY
569,DELGADO COMMUNITY COLLEGE
570,LOUISIANA STATE UNIVERSITY AND AGRICULTURAL & MECHANICAL COLLEGE
571,LOUISIANA TECH UNIVERSITY
572,CENTENARY COLLEGE OF LOUISIANA
573,UNIVERSITY OF LOUISIANA-MONROE
574,UNIVERSITY OF NEW ORLEANS
575,LOUISIANA STATE UNIVERSITY IN SHREVEPORT
576,SOUTHERN UNIVERSITY AT SHREVEPORT
577,SOUTHEASTERN LOUISIANA UNIVERSITY
578,WELLESLEY COLLEGE
579,BRANDIES UNIVERSITY
580,AMHERST COLLEGE
581,SPRINGFIELD TECHNICAL COMMUNITY COLLEGE
582,MASSACHUSETTS COLLEGE OF ART AND DESIGN
583,WESTFIELD STATE UNIVERSITY
584,ANNA MARIA COLLEGE
585,WESTERN NEW ENGLAND UNIVERSITY
586,NORTHERN ESSEX COMMUNITY COLLEGE
587,COLLEGE OF OUR LADY OF THE ELMS
588,BOSTON UNIVERSITY
589,SMITH COLLEGE
590,REGIS COLLEGE
591,WENTWORTH INSTITUTE OF TECHNOLOGY
592,UNIVERSITY OF MASSACHUSETTS
593,WILLIAMS COLLEGE
594,FRAMINGHAM STATE UNIVERSITY
595,MOUNT WACHUSETT COMMUNITY COLLEGE
596,EMMANUEL COLLEGE
597,LESLEY UNIVERSITY
598,GORDON COLLEGE
599,HAMPSHIRE COLLEGE
600,UNIVERSITY OF MASSACHUSETTS-BOSTON
601,MASSACHUSETTS INSTITUTE OF TECHNOLOGY
602,ENDICOTT COLLEGE
603,CAPE COD COMMUNITY COLLEGE
604,BARD COLLEGE AT SIMON'S ROCK
605,EMERSON COLLEGE
606,COLLEGE OF THE HOLY CROSS
607,BECKER COLLEGE
608,BERKSHIRE COMMUNITY COLLEGE
609,WORCESTER STATE UNIVERSITY
610,BUNKER HILL COMMUNITY COLLEGE
611,BENTLEY UNIVERSITY
612,MASSACHUSETTS COLLEGE OF LIBERAL ARTS
613,BOSTON COLLEGE
614,MONTSERRAT COLLEGE OF ART
615,MOUNT HOLYOKE COLLEGE
616,UNIVERSITY OF MASSACHUSETTS - AMHERST
617,WORCESTER POLYTECHNIC INSTITUTE
618,ROXBURY COMMUNITY COLLEGE
