ID_Finance,Tax_Period,Chiffre_Affaires,Benefice,RefEmployer
8499,2013-12-30,110914,NULL,616034152
8500,2014-12-30,13345,13345,272161905
8501,2014-10-30,0,0,611201359
8502,2013-12-30,130607,125983,611289312
8503,2014-03-30,0,0,611020324
8504,2013-12-30,434743,434743,222848395
8505,2014-12-30,0,0,611139192
8506,NULL,NULL,NULL,611271938
8507,2013-12-30,180127,125519,611251188
8508,2014-12-30,0,0,10810822
8509,NULL,NULL,NULL,743218348
8510,2013-12-30,13153,13153,611316651
8511,NULL,NULL,NULL,611378213
8512,2014-12-30,0,0,611209272
8513,2014-03-30,39374,39374,237083634
8514,2014-06-30,0,0,611299733
8515,2014-06-30,142215,121560,610651822
8516,2013-12-30,1151632,980033,611390688
8517,2014-12-30,0,0,721406675
8518,NULL,NULL,NULL,726001688
8519,2013-12-30,0,0,721326678
8520,2013-12-30,144549,144549,721471811
8521,NULL,NULL,NULL,720682473
8522,2014-12-30,0,0,721465956
8523,2013-06-30,0,0,237039087
8524,NULL,NULL,NULL,726011797
8525,NULL,NULL,NULL,331015200
8526,2013-12-30,146080,124731,720833674
8527,2013-12-30,327012,322943,720689313
8528,2013-12-30,0,0,721430342
8529,2013-12-30,0,0,582058687
8530,2014-07-30,0,0,721130232
8531,2013-06-30,138233503,105281702,720635884
8532,2014-01-30,313208,268310,237125857
8533,2013-12-30,31639978,30405440,510157624
8534,NULL,NULL,NULL,721268698
8535,2013-12-30,245452,192700,721306895
8536,2012-12-30,2644,2644,721488658
8537,2014-06-30,0,0,272812503
8538,2013-12-30,116796,107070,726032632
8539,2014-12-30,0,0,721052023
8540,2013-12-30,913546,864249,721455626
8541,2013-12-30,0,0,720952035
8542,2014-04-30,0,0,721248115
8543,NULL,NULL,NULL,721167472
8544,2013-12-30,0,0,721230932
8545,2013-12-30,54128,54128,721302828
8546,NULL,NULL,NULL,721044754
8547,2013-12-30,112711,112711,510174192
8548,2014-06-30,466833,323868,726027414
8549,2013-12-30,0,0,720927249
8550,2013-12-30,0,0,237350365
8551,NULL,NULL,NULL,726000783
8552,2013-12-30,74106,61680,721192862
8553,2014-12-30,6185,2801,721303828
8554,2014-09-30,744996,744996,272052059
8555,2013-06-30,1205932000,949948000,720423889
8556,2013-12-30,0,0,271418523
8557,2013-12-30,0,0,262185713
8558,NULL,NULL,NULL,161737978
